OS                           : Linux-5.14.21-150400.24.81_12.0.87-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.19
CuPy Version                 : 13.0.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.26.4
SciPy Version                : 1.13.0
Cython Build Version         : 0.29.36
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2/bin/nvcc
CUDA Build Version           : 12020
CUDA Driver Version          : 12020
CUDA Runtime Version         : 12020 (linked to CuPy) / 12020 (locally installed)
cuBLAS Version               : (available)
cuFFT Version                : 11008
cuRAND Version               : 10303
cuSOLVER Version             : (11, 5, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (12, 2)
Thrust Version               : 200200
CUB Build Version            : 200200
Jitify Build Version         : <unknown>
cuDNN Build Version          : 8801
cuDNN Version                : 8903
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-80GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:C1:00.0
None
./trajdata100/train_c2h4_sto-3g.npy
Sizes of ptrain and pdot:
[(199996, 14, 14), (199996, 14, 14)]
len(theta) = 38416
len(jac) = 39199216
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 78398432 rows and 38416 columns
damp = 0.00000000000000e+00

atol = 1.00e-16                 conlim = 1.00e+08

btol = 1.00e-16             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1280 -2.27006e-02  6.206e-01  2.594e-01   3.6e-04  1.4e-05  3.1e+04  5.3e+01
  1290 -2.27443e-02  6.177e-01  2.564e-01   3.6e-04  1.3e-05  3.1e+04  1.3e+02
  1300 -2.28143e-02  6.133e-01  2.518e-01   3.6e-04  1.3e-05  3.1e+04  8.4e+01
  1310 -2.28690e-02  6.101e-01  2.485e-01   3.5e-04  1.3e-05  3.1e+04  8.9e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320 -2.29406e-02  6.061e-01  2.445e-01   3.5e-04  1.3e-05  3.1e+04  5.3e+01
  1330 -2.30331e-02  6.015e-01  2.397e-01   3.5e-04  1.3e-05  3.1e+04  4.3e+01
  1340 -2.30902e-02  5.987e-01  2.369e-01   3.5e-04  1.3e-05  3.1e+04  9.5e+01
  1350 -2.31504e-02  5.960e-01  2.342e-01   3.5e-04  1.2e-05  3.1e+04  6.3e+01
  1360 -2.32221e-02  5.929e-01  2.311e-01   3.4e-04  1.2e-05  3.2e+04  8.2e+01
  1370 -2.32993e-02  5.897e-01  2.280e-01   3.4e-04  1.2e-05  3.2e+04  5.2e+01
  1380 -2.33727e-02  5.867e-01  2.251e-01   3.4e-04  1.2e-05  3.2e+04  8.0e+01
  1390 -2.34817e-02  5.825e-01  2.209e-01   3.4e-04  1.2e-05  3.2e+04  5.3e+01
  1400 -2.35528e-02  5.798e-01  2.184e-01   3.4e-04  1.2e-05  3.2e+04  5.0e+01
  1410 -2.36138e-02  5.776e-01  2.163e-01   3.4e-04  1.2e-05  3.2e+04  2.9e+01
  1420 -2.37189e-02  5.739e-01  2.128e-01   3.3e-04  1.1e-05  3.2e+04  5.6e+01
  1430 -2.38133e-02  5.707e-01  2.098e-01   3.3e-04  1.1e-05  3.2e+04  5.8e+01
  1440 -2.39143e-02  5.673e-01  2.067e-01   3.3e-04  1.1e-05  3.2e+04  2.5e+01
  1450 -2.40184e-02  5.640e-01  2.036e-01   3.3e-04  1.1e-05  3.3e+04  8.8e+01
  1460 -2.40996e-02  5.615e-01  2.012e-01   3.3e-04  1.1e-05  3.3e+04  9.0e+01
  1470 -2.42105e-02  5.581e-01  1.981e-01   3.2e-04  1.1e-05  3.3e+04  2.6e+01
  1480 -2.42810e-02  5.561e-01  1.962e-01   3.2e-04  1.1e-05  3.3e+04  1.1e+02
  1490 -2.43891e-02  5.530e-01  1.933e-01   3.2e-04  1.1e-05  3.3e+04  7.8e+01
  1500 -2.45027e-02  5.498e-01  1.904e-01   3.2e-04  1.0e-05  3.3e+04  5.6e+01
  1510 -2.45891e-02  5.474e-01  1.882e-01   3.2e-04  1.0e-05  3.3e+04  3.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1520 -2.46796e-02  5.450e-01  1.860e-01   3.2e-04  1.0e-05  3.3e+04  9.4e+01
  1530 -2.47957e-02  5.420e-01  1.833e-01   3.1e-04  1.0e-05  3.4e+04  1.4e+02
  1540 -2.48824e-02  5.398e-01  1.814e-01   3.1e-04  1.0e-05  3.4e+04  4.8e+01
  1550 -2.49692e-02  5.377e-01  1.794e-01   3.1e-04  9.9e-06  3.4e+04  5.4e+01
  1560 -2.50728e-02  5.351e-01  1.772e-01   3.1e-04  9.8e-06  3.4e+04  1.8e+02
  1570 -2.51840e-02  5.325e-01  1.749e-01   3.1e-04  9.7e-06  3.4e+04  1.2e+02
