OS                           : Linux-5.14.21-150400.24.69_12.0.74-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:82:00.0
None
Size of p_train:
(20000, 60, 60)
len(theta) = 12960000
len(jac) = 71985600
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 143971200 rows and 12960000 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   810  1.72603e+00  1.548e+03  3.609e+02   4.8e-01  1.6e-05  1.4e+04  3.1e+01
   820  1.74214e+00  1.546e+03  3.556e+02   4.8e-01  1.6e-05  1.4e+04  2.6e+01
   830  1.75766e+00  1.545e+03  3.506e+02   4.8e-01  1.6e-05  1.4e+04  3.0e+01
   840  1.77194e+00  1.543e+03  3.460e+02   4.8e-01  1.6e-05  1.4e+04  3.8e+01
   850  1.78738e+00  1.542e+03  3.412e+02   4.8e-01  1.5e-05  1.4e+04  3.7e+01
   860  1.80184e+00  1.541e+03  3.368e+02   4.8e-01  1.5e-05  1.5e+04  3.4e+01
   870  1.81628e+00  1.539e+03  3.323e+02   4.8e-01  1.5e-05  1.5e+04  4.0e+01
   880  1.83106e+00  1.538e+03  3.278e+02   4.8e-01  1.4e-05  1.5e+04  3.4e+01
   890  1.84517e+00  1.537e+03  3.236e+02   4.8e-01  1.4e-05  1.5e+04  3.1e+01
   900  1.86009e+00  1.536e+03  3.192e+02   4.8e-01  1.4e-05  1.5e+04  2.9e+01
   910  1.87408e+00  1.534e+03  3.150e+02   4.8e-01  1.4e-05  1.5e+04  3.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   920  1.88797e+00  1.533e+03  3.110e+02   4.8e-01  1.3e-05  1.5e+04  3.7e+01
   930  1.90195e+00  1.532e+03  3.070e+02   4.8e-01  1.3e-05  1.5e+04  3.3e+01
   940  1.91555e+00  1.531e+03  3.032e+02   4.8e-01  1.3e-05  1.5e+04  3.3e+01
   950  1.92852e+00  1.529e+03  2.996e+02   4.8e-01  1.3e-05  1.5e+04  4.1e+01
   960  1.94156e+00  1.528e+03  2.960e+02   4.8e-01  1.3e-05  1.5e+04  3.8e+01
   970  1.95448e+00  1.527e+03  2.925e+02   4.7e-01  1.2e-05  1.5e+04  4.5e+01
   980  1.96819e+00  1.526e+03  2.888e+02   4.7e-01  1.2e-05  1.6e+04  3.3e+01
   990  1.98075e+00  1.525e+03  2.855e+02   4.7e-01  1.2e-05  1.6e+04  3.5e+01
  1000  1.99327e+00  1.524e+03  2.822e+02   4.7e-01  1.2e-05  1.6e+04  3.6e+01
  1010  2.00586e+00  1.523e+03  2.790e+02   4.7e-01  1.2e-05  1.6e+04  3.7e+01
  1020  2.01850e+00  1.522e+03  2.758e+02   4.7e-01  1.1e-05  1.6e+04  4.1e+01
  1030  2.03167e+00  1.521e+03  2.725e+02   4.7e-01  1.1e-05  1.6e+04  3.4e+01
  1040  2.04435e+00  1.520e+03  2.694e+02   4.7e-01  1.1e-05  1.6e+04  3.5e+01
  1050  2.05689e+00  1.519e+03  2.664e+02   4.7e-01  1.1e-05  1.6e+04  3.3e+01
  1060  2.06922e+00  1.518e+03  2.635e+02   4.7e-01  1.1e-05  1.6e+04  3.6e+01
  1070  2.08136e+00  1.517e+03  2.607e+02   4.7e-01  1.1e-05  1.6e+04  4.5e+01
  1080  2.09421e+00  1.516e+03  2.578e+02   4.7e-01  1.0e-05  1.6e+04  3.8e+01
  1090  2.10650e+00  1.515e+03  2.550e+02   4.7e-01  1.0e-05  1.6e+04  3.7e+01
  1100  2.11952e+00  1.514e+03  2.522e+02   4.7e-01  1.0e-05  1.6e+04  4.3e+01
  1110  2.13178e+00  1.513e+03  2.496e+02   4.7e-01  1.0e-05  1.7e+04  3.7e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1120  2.14422e+00  1.512e+03  2.470e+02   4.7e-01  9.8e-06  1.7e+04  3.8e+01
  1130  2.15645e+00  1.511e+03  2.444e+02   4.7e-01  9.7e-06  1.7e+04  4.4e+01
  1140  2.16920e+00  1.510e+03  2.419e+02   4.7e-01  9.5e-06  1.7e+04  3.7e+01
  1150  2.18191e+00  1.509e+03  2.393e+02   4.7e-01  9.4e-06  1.7e+04  3.5e+01
  1160  2.19419e+00  1.508e+03  2.369e+02   4.7e-01  9.3e-06  1.7e+04  4.0e+01
  1170  2.20623e+00  1.508e+03  2.346e+02   4.7e-01  9.2e-06  1.7e+04  4.6e+01
  1180  2.21915e+00  1.507e+03  2.322e+02   4.7e-01  9.0e-06  1.7e+04  3.9e+01
  1190  2.23159e+00  1.506e+03  2.299e+02   4.7e-01  8.9e-06  1.7e+04  3.4e+01
  1200  2.24462e+00  1.505e+03  2.275e+02   4.7e-01  8.8e-06  1.7e+04  4.2e+01
  1210  2.25736e+00  1.504e+03  2.252e+02   4.7e-01  8.7e-06  1.7e+04  3.6e+01
  1220  2.26932e+00  1.503e+03  2.231e+02   4.7e-01  8.6e-06  1.7e+04  3.6e+01
  1230  2.28158e+00  1.503e+03  2.210e+02   4.7e-01  8.4e-06  1.7e+04  4.3e+01
  1240  2.29414e+00  1.502e+03  2.188e+02   4.7e-01  8.3e-06  1.7e+04  4.8e+01
  1250  2.30657e+00  1.501e+03  2.167e+02   4.7e-01  8.2e-06  1.8e+04  4.7e+01
  1260  2.31954e+00  1.500e+03  2.145e+02   4.7e-01  8.1e-06  1.8e+04  3.7e+01
  1270  2.33189e+00  1.499e+03  2.125e+02   4.7e-01  8.0e-06  1.8e+04  3.9e+01
  1280  2.34367e+00  1.499e+03  2.106e+02   4.7e-01  7.9e-06  1.8e+04  4.7e+01
  1290  2.35572e+00  1.498e+03  2.086e+02   4.7e-01  7.8e-06  1.8e+04  4.7e+01
  1300  2.36833e+00  1.497e+03  2.066e+02   4.7e-01  7.7e-06  1.8e+04  3.5e+01
  1310  2.38039e+00  1.496e+03  2.047e+02   4.7e-01  7.6e-06  1.8e+04  3.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320  2.39174e+00  1.496e+03  2.029e+02   4.6e-01  7.5e-06  1.8e+04  4.2e+01
  1330  2.40312e+00  1.495e+03  2.011e+02   4.6e-01  7.4e-06  1.8e+04  4.9e+01
  1340  2.41575e+00  1.494e+03  1.991e+02   4.6e-01  7.3e-06  1.8e+04  3.6e+01
  1350  2.42736e+00  1.493e+03  1.974e+02   4.6e-01  7.2e-06  1.8e+04  3.6e+01
  1360  2.43882e+00  1.493e+03  1.956e+02   4.6e-01  7.2e-06  1.8e+04  3.9e+01
  1370  2.45000e+00  1.492e+03  1.939e+02   4.6e-01  7.1e-06  1.8e+04  3.8e+01
  1380  2.46114e+00  1.491e+03  1.923e+02   4.6e-01  7.0e-06  1.8e+04  4.3e+01
  1390  2.47242e+00  1.491e+03  1.906e+02   4.6e-01  6.9e-06  1.9e+04  4.3e+01
  1400  2.48408e+00  1.490e+03  1.889e+02   4.6e-01  6.8e-06  1.9e+04  3.7e+01
  1410  2.49537e+00  1.489e+03  1.872e+02   4.6e-01  6.7e-06  1.9e+04  3.7e+01
  1420  2.50659e+00  1.489e+03  1.856e+02   4.6e-01  6.7e-06  1.9e+04  3.7e+01
  1430  2.51719e+00  1.488e+03  1.841e+02   4.6e-01  6.6e-06  1.9e+04  4.8e+01
  1440  2.52863e+00  1.487e+03  1.825e+02   4.6e-01  6.5e-06  1.9e+04  5.0e+01
  1450  2.53991e+00  1.487e+03  1.810e+02   4.6e-01  6.4e-06  1.9e+04  4.1e+01
  1460  2.55110e+00  1.486e+03  1.794e+02   4.6e-01  6.4e-06  1.9e+04  3.7e+01
  1470  2.56221e+00  1.485e+03  1.779e+02   4.6e-01  6.3e-06  1.9e+04  3.4e+01
  1480  2.57298e+00  1.485e+03  1.765e+02   4.6e-01  6.2e-06  1.9e+04  3.9e+01
  1490  2.58340e+00  1.484e+03  1.751e+02   4.6e-01  6.2e-06  1.9e+04  4.2e+01
  1500  2.59431e+00  1.484e+03  1.737e+02   4.6e-01  6.1e-06  1.9e+04  3.9e+01
  1510  2.60540e+00  1.483e+03  1.722e+02   4.6e-01  6.0e-06  1.9e+04  4.2e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1520  2.61597e+00  1.482e+03  1.709e+02   4.6e-01  5.9e-06  1.9e+04  4.7e+01
  1530  2.62688e+00  1.482e+03  1.695e+02   4.6e-01  5.9e-06  1.9e+04  4.6e+01
  1540  2.63791e+00  1.481e+03  1.681e+02   4.6e-01  5.8e-06  1.9e+04  3.9e+01
  1550  2.64851e+00  1.481e+03  1.668e+02   4.6e-01  5.8e-06  2.0e+04  4.6e+01
  1560  2.65944e+00  1.480e+03  1.654e+02   4.6e-01  5.7e-06  2.0e+04  4.5e+01
  1570  2.67017e+00  1.480e+03  1.641e+02   4.6e-01  5.6e-06  2.0e+04  3.7e+01
  1580  2.68078e+00  1.479e+03  1.628e+02   4.6e-01  5.6e-06  2.0e+04  3.9e+01
  1590  2.69119e+00  1.478e+03  1.616e+02   4.6e-01  5.5e-06  2.0e+04  5.0e+01
  1600  2.70177e+00  1.478e+03  1.603e+02   4.6e-01  5.5e-06  2.0e+04  5.1e+01
  1610  2.71237e+00  1.477e+03  1.591e+02   4.6e-01  5.4e-06  2.0e+04  5.6e+01
