OS                           : Linux-5.14.21-150400.24.69_12.0.74-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:41:00.0
None
Size of p_train:
(20000, 29, 29)
len(theta) = 707281
len(jac) = 16816636
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 33633272 rows and 707281 columns
damp = 0.00000000000000e+00

atol = 1.00e-32                 conlim = 1.00e+08

btol = 1.00e-32             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   940  3.10333e-01  5.826e+01  5.902e-01   3.6e-01  3.3e-06  3.0e+03  3.0e+01
   950  3.15186e-01  5.826e+01  5.833e-01   3.6e-01  3.3e-06  3.1e+03  6.8e+01
   960  3.20582e-01  5.825e+01  5.756e-01   3.6e-01  3.2e-06  3.1e+03  3.5e+01
   970  3.25084e-01  5.825e+01  5.693e-01   3.6e-01  3.2e-06  3.1e+03  8.0e+01
   980  3.30091e-01  5.824e+01  5.623e-01   3.6e-01  3.1e-06  3.1e+03  3.7e+01
   990  3.33939e-01  5.824e+01  5.568e-01   3.6e-01  3.1e-06  3.1e+03  3.9e+01
  1000  3.38195e-01  5.823e+01  5.505e-01   3.6e-01  3.0e-06  3.1e+03  7.0e+01
  1010  3.42280e-01  5.823e+01  5.444e-01   3.6e-01  3.0e-06  3.2e+03  4.1e+01
  1020  3.46397e-01  5.822e+01  5.380e-01   3.6e-01  2.9e-06  3.2e+03  8.4e+01
  1030  3.49734e-01  5.822e+01  5.326e-01   3.6e-01  2.9e-06  3.2e+03  4.5e+01
  1040  3.53138e-01  5.822e+01  5.269e-01   3.6e-01  2.8e-06  3.2e+03  5.4e+01
  1050  3.55827e-01  5.821e+01  5.222e-01   3.6e-01  2.8e-06  3.2e+03  6.2e+01
  1060  3.58670e-01  5.821e+01  5.170e-01   3.6e-01  2.8e-06  3.2e+03  4.9e+01
  1070  3.61040e-01  5.820e+01  5.125e-01   3.6e-01  2.7e-06  3.2e+03  5.2e+01
  1080  3.63330e-01  5.820e+01  5.080e-01   3.6e-01  2.7e-06  3.3e+03  5.1e+01
  1090  3.65601e-01  5.820e+01  5.033e-01   3.6e-01  2.6e-06  3.3e+03  8.3e+01
  1100  3.67970e-01  5.819e+01  4.983e-01   3.6e-01  2.6e-06  3.3e+03  6.7e+01
  1110  3.70065e-01  5.819e+01  4.937e-01   3.6e-01  2.6e-06  3.3e+03  3.9e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1120  3.71878e-01  5.819e+01  4.894e-01   3.6e-01  2.5e-06  3.3e+03  7.4e+01
  1130  3.73918e-01  5.818e+01  4.844e-01   3.6e-01  2.5e-06  3.3e+03  8.5e+01
  1140  3.75572e-01  5.818e+01  4.801e-01   3.6e-01  2.5e-06  3.3e+03  5.1e+01
  1150  3.77143e-01  5.817e+01  4.759e-01   3.6e-01  2.4e-06  3.4e+03  7.5e+01
  1160  3.78636e-01  5.817e+01  4.717e-01   3.6e-01  2.4e-06  3.4e+03  7.2e+01
  1170  3.80102e-01  5.817e+01  4.674e-01   3.6e-01  2.4e-06  3.4e+03  7.4e+01
  1180  3.81616e-01  5.816e+01  4.629e-01   3.6e-01  2.3e-06  3.4e+03  7.3e+01
  1190  3.82818e-01  5.816e+01  4.591e-01   3.6e-01  2.3e-06  3.4e+03  7.8e+01
  1200  3.83942e-01  5.816e+01  4.554e-01   3.6e-01  2.3e-06  3.4e+03  3.8e+01
  1210  3.85293e-01  5.815e+01  4.508e-01   3.6e-01  2.2e-06  3.5e+03  7.8e+01
  1220  3.86281e-01  5.815e+01  4.473e-01   3.6e-01  2.2e-06  3.5e+03  9.3e+01
  1230  3.87218e-01  5.815e+01  4.438e-01   3.6e-01  2.2e-06  3.5e+03  7.7e+01
  1240  3.88226e-01  5.814e+01  4.400e-01   3.6e-01  2.2e-06  3.5e+03  5.7e+01
  1250  3.89111e-01  5.814e+01  4.366e-01   3.6e-01  2.1e-06  3.5e+03  5.7e+01
  1260  3.90045e-01  5.814e+01  4.329e-01   3.6e-01  2.1e-06  3.5e+03  9.7e+01
  1270  3.90968e-01  5.813e+01  4.291e-01   3.6e-01  2.1e-06  3.5e+03  6.1e+01
  1280  3.91864e-01  5.813e+01  4.252e-01   3.6e-01  2.1e-06  3.5e+03  8.1e+01
  1290  3.92584e-01  5.812e+01  4.219e-01   3.6e-01  2.0e-06  3.6e+03  1.0e+02
  1300  3.93274e-01  5.812e+01  4.185e-01   3.6e-01  2.0e-06  3.6e+03  5.1e+01
  1310  3.93919e-01  5.812e+01  4.152e-01   3.6e-01  2.0e-06  3.6e+03  4.6e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320  3.94619e-01  5.811e+01  4.117e-01   3.6e-01  2.0e-06  3.6e+03  5.4e+01
  1330  3.95370e-01  5.811e+01  4.079e-01   3.6e-01  1.9e-06  3.6e+03  5.7e+01
  1340  3.95890e-01  5.811e+01  4.052e-01   3.6e-01  1.9e-06  3.6e+03  4.9e+01
  1350  3.96601e-01  5.810e+01  4.015e-01   3.6e-01  1.9e-06  3.6e+03  4.8e+01
  1360  3.97077e-01  5.810e+01  3.991e-01   3.6e-01  1.9e-06  3.7e+03  6.1e+01
  1370  3.97767e-01  5.810e+01  3.955e-01   3.6e-01  1.9e-06  3.7e+03  5.1e+01
  1380  3.98377e-01  5.809e+01  3.922e-01   3.6e-01  1.8e-06  3.7e+03  6.1e+01
  1390  3.98937e-01  5.809e+01  3.890e-01   3.6e-01  1.8e-06  3.7e+03  8.2e+01
  1400  3.99446e-01  5.809e+01  3.860e-01   3.6e-01  1.8e-06  3.7e+03  6.7e+01
  1410  3.99863e-01  5.808e+01  3.833e-01   3.6e-01  1.8e-06  3.7e+03  4.9e+01
  1420  4.00406e-01  5.808e+01  3.797e-01   3.6e-01  1.7e-06  3.7e+03  9.0e+01
  1430  4.00831e-01  5.808e+01  3.768e-01   3.6e-01  1.7e-06  3.8e+03  1.1e+02
  1440  4.01219e-01  5.807e+01  3.742e-01   3.6e-01  1.7e-06  3.8e+03  9.6e+01
  1450  4.01686e-01  5.807e+01  3.713e-01   3.6e-01  1.7e-06  3.8e+03  8.2e+01
  1460  4.02061e-01  5.807e+01  3.691e-01   3.6e-01  1.7e-06  3.8e+03  4.0e+01
  1470  4.02582e-01  5.806e+01  3.664e-01   3.6e-01  1.7e-06  3.8e+03  9.5e+01
  1480  4.03134e-01  5.806e+01  3.639e-01   3.6e-01  1.6e-06  3.8e+03  4.5e+01
  1490  4.03615e-01  5.806e+01  3.619e-01   3.6e-01  1.6e-06  3.8e+03  5.2e+01
  1500  4.04201e-01  5.806e+01  3.597e-01   3.6e-01  1.6e-06  3.8e+03  8.3e+01
  1510  4.04976e-01  5.805e+01  3.570e-01   3.6e-01  1.6e-06  3.9e+03  7.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1520  4.05609e-01  5.805e+01  3.550e-01   3.6e-01  1.6e-06  3.9e+03  4.0e+01
  1530  4.06248e-01  5.805e+01  3.530e-01   3.6e-01  1.6e-06  3.9e+03  4.6e+01
  1540  4.07045e-01  5.805e+01  3.506e-01   3.6e-01  1.6e-06  3.9e+03  5.0e+01
  1550  4.07981e-01  5.804e+01  3.479e-01   3.6e-01  1.5e-06  3.9e+03  9.8e+01
  1560  4.08679e-01  5.804e+01  3.460e-01   3.6e-01  1.5e-06  3.9e+03  7.8e+01
  1570  4.09515e-01  5.804e+01  3.438e-01   3.6e-01  1.5e-06  3.9e+03  1.1e+02
  1580  4.10254e-01  5.803e+01  3.419e-01   3.6e-01  1.5e-06  3.9e+03  8.8e+01
  1590  4.11101e-01  5.803e+01  3.396e-01   3.6e-01  1.5e-06  4.0e+03  8.0e+01
  1600  4.11900e-01  5.803e+01  3.375e-01   3.6e-01  1.5e-06  4.0e+03  6.8e+01
  1610  4.12685e-01  5.803e+01  3.354e-01   3.6e-01  1.5e-06  4.0e+03  1.0e+02
  1620  4.13344e-01  5.802e+01  3.337e-01   3.6e-01  1.4e-06  4.0e+03  1.0e+02
  1630  4.14017e-01  5.802e+01  3.318e-01   3.6e-01  1.4e-06  4.0e+03  1.5e+02
  1640  4.14661e-01  5.802e+01  3.300e-01   3.6e-01  1.4e-06  4.0e+03  5.3e+01
  1650  4.15306e-01  5.802e+01  3.281e-01   3.6e-01  1.4e-06  4.0e+03  1.2e+02
  1660  4.15973e-01  5.801e+01  3.261e-01   3.6e-01  1.4e-06  4.0e+03  9.8e+01
  1670  4.16471e-01  5.801e+01  3.245e-01   3.6e-01  1.4e-06  4.1e+03  1.1e+02
  1680  4.17034e-01  5.801e+01  3.226e-01   3.6e-01  1.4e-06  4.1e+03  5.5e+01
  1690  4.17517e-01  5.801e+01  3.208e-01   3.6e-01  1.4e-06  4.1e+03  5.7e+01
  1700  4.17988e-01  5.800e+01  3.191e-01   3.6e-01  1.3e-06  4.1e+03  7.1e+01
